blueOpacity,orangeOpacity,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,instr1Resp.keys,instr1Resp.rt,instr1Resp.started,instr1Resp.stopped,trialBlue.started,trialBlue.stopped,trialOrange.started,trialOrange.stopped,trialFix.started,trialFix.stopped,trialResp.keys,trialResp.corr,trialResp.started,trialResp.stopped,trialResp.rt,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,44.810432699974626,None,space,2.100073599955067,44.810432699974626,None,,,,,,,,,,,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,0,0,0,,,,,,,48.05986430007033,None,48.05986430007033,None,47.07833490008488,48.09181780018844,None,1,47.07833490008488,None,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,1,1,1,,,,,,,49.94162010005675,None,49.94162010005675,None,48.943992000073195,49.957954100100324,space,1,48.943992000073195,None,1.4467947999946773,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,2,2,2,,,,,,,51.40787610015832,None,51.40787610015832,None,50.41292420006357,51.424361700192094,space,1,50.41292420006357,None,1.3941087999846786,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,3,3,3,,,,,,,52.8242128000129,None,52.8242128000129,None,51.82763490010984,52.840605800040066,space,1,51.82763490010984,None,1.3634301000274718,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,4,4,4,,,,,,,54.207010300131515,None,54.207010300131515,None,53.21110920002684,54.223836300196126,space,1,53.21110920002684,None,1.91535359993577,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,5,5,5,,,,,,,56.1568234001752,None,56.1568234001752,None,55.15937130013481,56.1731706999708,space,1,55.15937130013481,None,1.447512499988079,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,6,6,6,,,,,,,57.62278390000574,58.622564600082114,57.62278390000574,58.622564600082114,56.627439100062475,57.639490799978375,None,1,56.627439100062475,None,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,7,7,7,,,,,,,59.62230659998022,60.62214740016498,59.62230659998022,60.62214740016498,58.640165199991316,59.655678500188515,None,1,58.640165199991316,58.640165199991316,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,8,8,8,,,,,,,61.6386679999996,None,61.6386679999996,None,60.65711660007946,61.672047400148585,space,1,60.65711660007946,60.65711660007946,1.5816037999466062,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
